id,name,ctx,in_$1m,out_$1m,cache_read_$1m,cache_write_$1m,reasoning_$1m,img_$,modalities,created
aion-labs/aion-2.0,AionLabs: Aion-2.0,131072,0.8,1.6,0.2,,,,text,1771881306
aion-labs/aion-3.0,AionLabs: Aion-3.0,131072,3.0,6.0,0.75,,,,text,1783443095
aion-labs/aion-3.0-mini,AionLabs: Aion-3.0-Mini,131072,0.7,1.4,0.18,,,,text,1783443096
aion-labs/aion-rp-llama-3.1-8b,AionLabs: Aion-RP 1.0 (8B),32768,0.8,1.6,,,,,text,1738696718
amazon/nova-2-lite-v1,Amazon: Nova 2 Lite,1000000,0.3,2.5,,,,,"text,image,video,file",1764696672
amazon/nova-lite-v1,Amazon: Nova Lite 1.0,300000,0.06,0.24,,,,,"text,image",1733437363
amazon/nova-micro-v1,Amazon: Nova Micro 1.0,128000,0.035,0.14,,,,,text,1733437237
amazon/nova-premier-v1,Amazon: Nova Premier 1.0,1000000,2.5,12.5,0.625,,,,"text,image",1761950332
amazon/nova-pro-v1,Amazon: Nova Pro 1.0,300000,0.8,3.2,,,,,"text,image",1733436303
anthracite-org/magnum-v4-72b,Magnum v4 72B,32768,2.5,5.0,,,,,text,1729555200
anthropic/claude-3-haiku,Anthropic: Claude 3 Haiku,200000,0.25,1.25,0.03,0.3,,,"text,image",1710288000
anthropic/claude-fable-5,Anthropic: Claude Fable 5,1000000,10.0,50.0,1.0,12.5,,,"text,image,file",1781007515
anthropic/claude-fable-5.1,Anthropic: Claude Fable 5.1,1000000,10.0,50.0,0.25,12.5,,,"text,image,file",1788285838
anthropic/claude-fable-5.1:batch,Anthropic: Claude Fable 5.1 (batch),1000000,5.0,25.0,0.125,6.25,,,"text,image,file",1788285838
anthropic/claude-fable-5:batch,Anthropic: Claude Fable 5 (batch),1000000,5.0,25.0,0.5,6.25,,,"text,image,file",1781007515
anthropic/claude-haiku-4.5,Anthropic: Claude Haiku 4.5,200000,1.0,5.0,0.1,1.25,,,"text,image,file",1760547638
anthropic/claude-haiku-4.5:batch,Anthropic: Claude Haiku 4.5 (batch),200000,0.5,2.5,0.05,0.625,,,"text,image,file",1760547638
anthropic/claude-opus-4,Anthropic: Claude Opus 4,200000,15.0,75.0,1.5,18.75,,,"image,text,file",1747931245
anthropic/claude-opus-4.1,Anthropic: Claude Opus 4.1,200000,15.0,75.0,1.5,18.75,,,"image,text,file",1754411591
anthropic/claude-opus-4.1:batch,Anthropic: Claude Opus 4.1 (batch),200000,7.5,37.5,0.75,9.375,,,"image,text,file",1754411591
anthropic/claude-opus-4.5,Anthropic: Claude Opus 4.5,200000,5.0,25.0,0.5,6.25,,,"file,image,text",1764010580
anthropic/claude-opus-4.5:batch,Anthropic: Claude Opus 4.5 (batch),200000,2.5,12.5,0.25,3.125,,,"file,image,text",1764010580
anthropic/claude-opus-4.6,Anthropic: Claude Opus 4.6,1000000,5.0,25.0,0.5,6.25,,,"text,image,file",1770219050
anthropic/claude-opus-4.6:batch,Anthropic: Claude Opus 4.6 (batch),1000000,2.5,12.5,0.25,3.125,,,"text,image,file",1770219050
anthropic/claude-opus-4.7,Anthropic: Claude Opus 4.7,1000000,5.0,25.0,0.5,6.25,,,"text,image,file",1776351100
anthropic/claude-opus-4.7:batch,Anthropic: Claude Opus 4.7 (batch),1000000,2.5,12.5,0.25,3.125,,,"text,image,file",1776351100
anthropic/claude-opus-4.8,Anthropic: Claude Opus 4.8,1000000,5.0,25.0,0.5,6.25,,,"text,image,file",1779905091
anthropic/claude-opus-4.8:batch,Anthropic: Claude Opus 4.8 (batch),1000000,2.5,12.5,0.25,3.125,,,"text,image,file",1779905091
anthropic/claude-opus-5,Claude Opus 5,1000000,5.0,25.0,0.5,6.25,,,"text,image,file",1784912544
anthropic/claude-opus-5:batch,Claude Opus 5 (batch),1000000,2.5,12.5,0.25,3.125,,,"text,image,file",1784912544
anthropic/claude-sonnet-4,Anthropic: Claude Sonnet 4,1000000,3.0,15.0,0.3,3.75,,,"image,text,file",1747930371
anthropic/claude-sonnet-4.5,Anthropic: Claude Sonnet 4.5,1000000,3.0,15.0,0.3,3.75,,,"text,image,file",1759161676
anthropic/claude-sonnet-4.5:batch,Anthropic: Claude Sonnet 4.5 (batch),1000000,1.5,7.5,0.15,1.875,,,"text,image,file",1759161676
anthropic/claude-sonnet-4.6,Anthropic: Claude Sonnet 4.6,1000000,3.0,15.0,0.3,3.75,,,"text,image,file",1771342990
anthropic/claude-sonnet-4.6:batch,Anthropic: Claude Sonnet 4.6 (batch),1000000,1.5,7.5,0.15,1.875,,,"text,image,file",1771342990
anthropic/claude-sonnet-5,Anthropic: Claude Sonnet 5,1000000,2.0,10.0,0.2,2.5,,,"text,image,file",1782843083
anthropic/claude-sonnet-5:batch,Anthropic: Claude Sonnet 5 (batch),1000000,1.0,5.0,0.1,1.25,,,"text,image,file",1782843083
arcee-ai/trinity-large-thinking,Arcee AI: Trinity Large Thinking,262144,0.25,0.8,0.06,,,,text,1775058318
baidu/ernie-4.5-vl-424b-a47b,Baidu: ERNIE 4.5 VL 424B A47B ,123000,0.42,1.25,,,,,"image,text",1751300903
bytedance-seed/seed-1.6,ByteDance Seed: Seed 1.6,262144,0.25,2.0,,,,,"image,text,video",1766504997
bytedance-seed/seed-1.6-flash,ByteDance Seed: Seed 1.6 Flash,262144,0.075,0.3,,,,,"image,text,video",1766505011
bytedance-seed/seed-2-1-turbo,ByteDance Seed: Seed 2.1 Turbo,262144,0.5,2.5,,,,,"text,image,video",1786552176
bytedance-seed/seed-2.0-code,ByteDance Seed: Seed-2.0-Code,262144,0.5,3.0,,,,,"text,image,video",1786550701
bytedance-seed/seed-2.0-lite,ByteDance Seed: Seed-2.0-Lite,262144,0.25,2.0,,,,,"text,image,video",1773157231
bytedance-seed/seed-2.0-mini,ByteDance Seed: Seed-2.0-Mini,262144,0.1,0.4,,,,,"text,image,video",1772131107
bytedance/ui-tars-1.5-7b,ByteDance: UI-TARS 7B ,128000,0.1,0.2,0.1,,,,"image,text",1753205056
cognitivecomputations/dolphin-mistral-24b-venice-edition,Venice: Uncensored,128000,0.2,0.9,,,,,text,1752094966
cohere/command-a,Cohere: Command A,256000,2.5,10.0,,,,,text,1741894342
cohere/command-r-08-2024,Cohere: Command R (08-2024),128000,0.15,0.6,,,,,text,1724976000
cohere/command-r-plus-08-2024,Cohere: Command R+ (08-2024),128000,2.5,10.0,,,,,text,1724976000
cohere/command-r7b-12-2024,Cohere: Command R7B (12-2024),128000,0.0375,0.15,,,,,text,1734158152
cohere/north-mini-code:free,Cohere: North Mini Code (free),256000,0.0,0.0,,,,,text,1781723748
deepseek/deepseek-chat,DeepSeek: DeepSeek V3,163840,0.2574,1.0287,,,,,text,1735241320
deepseek/deepseek-chat-v3-0324,DeepSeek: DeepSeek V3 0324,163840,0.25,1.0,,,,,text,1742824755
deepseek/deepseek-chat-v3.1,DeepSeek: DeepSeek V3.1,163840,0.25,0.95,0.13,,,,text,1755779628
deepseek/deepseek-r1,DeepSeek: R1,64000,0.7,2.5,,,,,text,1737381095
deepseek/deepseek-r1-0528,DeepSeek: R1 0528,163840,0.5,2.15,0.35,,,,text,1748455170
deepseek/deepseek-r1-distill-llama-70b,DeepSeek: R1 Distill Llama 70B,8192,0.8,0.8,,,,,text,1737663169
deepseek/deepseek-v3.1-terminus,DeepSeek: DeepSeek V3.1 Terminus,163840,0.27,1.0,0.135,,,,text,1758548275
